ano_mes,faixa_etaria,obitos,perc_obitos_mensais
2021-1,<1,1,0.826446280991736
2021-1,1-5,0,0
2021-1,6-19,0,0
2021-1,20-29,1,0.826446280991736
2021-1,30-39,8,6.61157024793388
2021-1,40-49,4,3.30578512396694
2021-1,50-59,13,10.7438016528926
2021-1,60-69,23,19.0082644628099
2021-1,70-79,25,20.6611570247934
2021-1,80-89,27,22.3140495867769
2021-1,>=90,19,15.702479338843
2021-1,total,121,100
2021-2,<1,47,0.155089919155255
2021-2,1-5,18,0.059396139250949
2021-2,6-19,56,0.184787988780729
2021-2,20-29,327,1.0790298630589
2021-2,30-39,1016,3.35258208216466
2021-2,40-49,2056,6.78435901666392
2021-2,50-59,3898,12.8625639333443
2021-2,60-69,6777,22.3626464279822
2021-2,70-79,7717,25.4644448110873
2021-2,80-89,6250,20.623659462135
2021-2,>=90,2143,7.07144035637684
2021-2,total,30305,100
2021-3,<1,69,0.13669862905143
2021-3,1-5,35,0.06933988430145
2021-3,6-19,97,0.192170536492591
2021-3,20-29,573,1.13519296299231
2021-3,30-39,1868,3.70076868214597
2021-3,40-49,3770,7.46889610904192
2021-3,50-59,6849,13.5688247880181
2021-3,60-69,11512,22.8068785165227
2021-3,70-79,12717,25.1941516760441
2021-3,80-89,9800,19.4151676044061
2021-3,>=90,3186,6.31191061098344
2021-3,total,50476,100
2021-4,<1,129,0.10832234715213
2021-4,1-5,59,0.049542778930044
2021-4,6-19,224,0.188094618310675
2021-4,20-29,1414,1.18734727808614
2021-4,30-39,5009,4.20609796034898
2021-4,40-49,10386,8.72120850792265
2021-4,50-59,18188,15.2726112403329
2021-4,60-69,28970,24.326344162769
2021-4,70-79,29835,25.0526916843705
2021-4,80-89,19360,16.2567491539941
2021-4,>=90,5515,4.63099026778292
2021-4,total,119089,100
2021-5,<1,213,0.10272585219052
2021-5,1-5,109,0.052568628585759
2021-5,6-19,364,0.175550282616664
2021-5,20-29,2691,1.29781816077319
2021-5,30-39,9663,4.66028126627698
2021-5,40-49,20193,9.73870015625904
2021-5,50-59,35127,16.9410845535043
2021-5,60-69,53408,25.7576634450296
2021-5,70-79,49086,23.6732449794548
2021-5,80-89,28465,13.7281285568223
2021-5,>=90,8029,3.8722341184868
2021-5,total,207348,100
2021-6,<1,251,0.10283345077924
2021-6,1-5,128,0.052440962947182
2021-6,6-19,454,0.186001540453287
2021-6,20-29,3379,1.384359482801
2021-6,30-39,12171,4.98639812523558
2021-6,40-49,25460,10.4308352862129
2021-6,50-59,44260,18.1331017190803
2021-6,60-69,61778,25.3101391324298
2021-6,70-79,54561,22.3533701512594
2021-6,80-89,32451,13.2950131921797
2021-6,>=90,9191,3.76550695662149
2021-6,total,244084,100
2021-7,<1,305,0.097484889842075
2021-7,1-5,162,0.051778859522676
2021-7,6-19,612,0.195609024863441
2021-7,20-29,4717,1.50765975536087
2021-7,30-39,17312,5.53330627195408
2021-7,40-49,36044,11.5204766212057
2021-7,50-59,60876,19.4573447672988
2021-7,60-69,74797,23.9068108377628
2021-7,70-79,65733,21.0097516852101
2021-7,80-89,40561,12.9642118586373
2021-7,>=90,11750,3.75556542834221
2021-7,total,312869,100
