Ranking_IDHM_2010,estado_nome_completo,state,IDHM_2010,IDHM_Renda_2010,IDHM_longevidade_2010,IDHM _educacao_2010
1 º,Distrito Federal,DF,0.824,0.863,0.873,0.742
2 º,São Paulo,SP,0.783,0.789,0.845,0.719
3 º,Santa Catarina,SC,0.774,0.773,0.86,0.697
4 º,Rio de Janeiro,RJ,0.761,0.782,0.835,0.675
5 º,Paraná,PR,0.749,0.757,0.83,0.668
6 º,Rio Grande do Sul,RS,0.746,0.769,0.84,0.642
7 º,Espírito Santo,ES,0.74,0.743,0.835,0.653
8 º,Goiás,GO,0.735,0.742,0.827,0.646
9 º,Minas Gerais,MG,0.731,0.73,0.838,0.638
10 º,Mato Grosso do Sul,MS,0.729,0.74,0.833,0.629
11 º,Mato Grosso,MT,0.725,0.732,0.821,0.635
12 º,Amapá,AP,0.708,0.694,0.813,0.629
13 º,Roraima,RR,0.707,0.695,0.809,0.628
14 º,Tocantins,TO,0.699,0.69,0.793,0.624
15 º,Rondônia,RO,0.69,0.712,0.8,0.577
16 º,Rio Grande do Norte,RN,0.684,0.678,0.792,0.597
17 º,Ceará,CE,0.682,0.651,0.793,0.615
18 º,Amazonas,AM,0.674,0.677,0.805,0.561
19 º,Pernambuco,PE,0.673,0.673,0.789,0.574
20 º,Sergipe,SE,0.665,0.672,0.781,0.56
21 º,Acre,AC,0.663,0.671,0.777,0.559
22 º,Bahia,BA,0.66,0.663,0.783,0.555
23 º,Paraíba,PB,0.658,0.656,0.783,0.555
24 º,Piauí,PI,0.646,0.635,0.777,0.547
24 º,Pará,PA,0.646,0.646,0.789,0.528
26 º,Maranhão,MA,0.639,0.612,0.757,0.562
27 º,Alagoas,AL,0.631,0.641,0.755,0.52
  ,,,,,,
